,217868
1991,63.048000335693395
1992,62.770999908447294
1993,62.486000061035206
1994,62.1780014038086
1995,61.7569999694824
1996,61.4370002746582
1997,61.076000213623
1998,60.6609992980957
1999,59.9249992370605
2000,59.6450004577637
2001,59.0460014343262
2002,58.433998107910206
2003,57.6689987182617
2004,56.680999755859396
2005,55.8219985961914
2006,54.895999908447294
2007,53.8619995117188
2008,53.0919990539551
2009,52.1240005493164
2010,51.055999755859396
2011,48.9609985351563
2012,47.004001617431605
2013,46.5989990234375
2014,46.0719985961914
2015,45.558998107910206
2016,45.1240005493164
2017,44.521999359130895
2018,43.8600006103516
